,prod_id,images,string
13,600f572345c2ff4568f2a17b,"['4a7d34af86727749439eblob', 'fd7028b949bd5785aeb6blob', 'f3228f71fdec5baaaf46blob', '634d8cbd64f24744cfaablob', '405248afef74d5e60adfblob', '070e09ca6e6ad05b13fablob', '51a29cd5068c34957b7cblob', 'c0bc82bec4a225c38923blob', '25c909eca92a6b26224bblob', '04fbc6024cade3f53748blob', None, None]","jordan mens red full zip long sleeves activewear thick hoodie size xljordan mens red full zip long sleeves activewear thick hoodie size xl
brand: motorola
model: sports uniform
color: brown
"
14,605a44a5d2811c00198ae9f8,"['mldiqNV0iB93spY', '2GYhYx5Rb51YnH9', 'xvKgKgeEVRnh5cS', 'Vz5Ajh7DXTbd9cP', 'pTcmLQMsa_JsN07', None, None, None, None, None, None, None]",rypet dog lion hoodie dress up pets costume clothes for halloween party sz smallrypet dog lion hoodie dress up pets costume clothes for halloween party sz small  
15,5f7a710efc80aa7a36f87ebc,"['2c65534a069033052621blob', '7f236919456b66c9f911blob', '49330f94b1475287b129blob', 'b0cbf8acf1485ebde666blob', '2c434edce7b58a55189cblob', 'fbce6b16d56bbc5861f4blob', None, None, None, None, None, None]","aigle mens blue pockets long sleeves activewear jacket hoodie size xlaigle mens blue pockets long sleeves activewear jacket hoodie size xl
brand: aigile
category: men
men"
16,5f7b1999fc80aa7a36f87fde,"['568da8049006d841dbaeblob', '6b642e7e2892c23e6ea3blob', '1aa078b4ed0ea8565d1dblob', '44e3a5153445630b1232blob', '83adb3c190c1646d7e06blob', None, None, None, None, None, None, None]","champion mens grey faux fur sherpa pockets long sleeve hoodie size xxlchampion mens grey faux fur sherpa pockets long sleeve hoodie size xxl
brand: champion 
category: men
men"
17,5fad958f764dee77c7d43321,"['47c4a9f321339cd89337blob', '3bfc5ae5cdf0f3218364blob', 'f92fcc0dcf509cc2aa9dblob', '3a091e6e3c129af1c74bblob', 'b2147d07bde70a74f047blob', 'e5932d2995176f68b7e3blob', '34879aa8b2fdab82cbd8blob', None, None, None, None, None]","amazon essentials  men gray, half zip hoodie size large  amazon essentials  men gray, half zip hoodie size large  
brand: amazon essentials 
model: gray, half zip hoodie size large 
category: men
men"
18,5f8f7b7da6d55065aba2f723,"['c464804e0d433fec0a73blob', 'da61ac634e1e0ae73bfdblob', '6904a7bc2bd8d5856aa6blob', '48cd131115cf1825be12blob', '5c6b082e819797ee0f15blob', '91f8c5def587142673c5blob', 'af194a39c679a5de740ablob', '79c5652492e4efae12dablob', None, None, None, None]",inc oct sport mens hoodie short sleeves basic navy blue size medium
19,5f95a157a6d55065aba301cb,"['366d47ec92558748a905blob', '2cc065971cd89c11bcf8blob', '39f7165fa730e89c1319blob', 'edfbb0d7a7fe33d94ebbblob', 'fa27cf6f4e21eefa7868blob', '712748fc13cb7973d445blob', 'd2d8f50bdd6535a22462blob', 'f49f446fbbad5f962553blob', None, None, None, None]","alfani mens sweatshirt heather deep black funnel neck hoodie pullover size smallalfani mens sweatshirt heather deep black funnel neck hoodie pullover size small
category: men
men"
20,5f9b90aae1ac23428cb7d060,"['d22a48522f6a23650baablob', '2ca9d4723f6bb6df6513blob', 'fadd7d69ffc4324c0a6ablob', 'cbe098ff35b87da6473ablob', '4fe329991a319fd9031ablob', 'ad185653bcc9369639eablob', '85813b6905641b79dfecblob', None, None, None, None, None]","alfani stretch mens casual gray htr long sleeve pullover hoodie size xlalfani stretch mens casual gray htr long sleeve pullover hoodie size xl
category: men
men"
21,5fa4c438e073e32f0eb3427e,"['b81688047eec875b0c7ablob', '52881567a9e0835ec046blob', '2119d34a9468f1cddc4bblob', 'd531727d4674b9ce072fblob', '8717fa933af24a22e495blob', '94f9bbd20989b70c7af8blob', '81a61049990ce8ab2edablob', None, None, None, None, None]","tommy hilfiger denim gray 1/4 zip pullover long sleeves hoodie mediumtommy hilfiger denim gray 1/4 zip pullover long sleeves hoodie medium
category: men
men"
22,5fa4cb7de073e32f0eb342b2,"['91e38f6049a3ac4f953cblob', 'e3569350e57c9f69feb8blob', 'dbb55319ef876832e36bblob', '7edb6adce1df5960a5a0blob', '1db81815ed2f5bf9ce18blob', '61f704dcf10a90ca79d3blob', '742c4e70e18f26f61446blob', '92e99dbf131f8e73b9efblob', '2393eef4b4a1c6fa640dblob', None, None, None]","inc international concepts mens blue full zip jacket hoodie with pockets largeinc international concepts mens blue full zip jacket hoodie with pockets large
category: men
men"
23,5fc0764597546371c0ed0f67,"['9013225909a9cf1081a6blob', 'af4ea6ee471a350a2d51blob', 'af364307f12a9ca3b65fblob', '6e86135a3343adfad5bfblob', '140624831650541b7744blob', 'c1f4c183c2319ff55065blob', '6026d7caa1507d152c58blob', None, None, None, None, None]","charter club mens multicolor colorblock long sleeves heathered hoodie size largecharter club mens multicolor colorblock long sleeves heathered hoodie size large
category: men
men"
24,5ff524d739a7bf6bd861d1a9,"['42319ffd8965012753c0blob', '993a6e3b81987abe2485blob', 'ccd9b7b332e7a2b3a4edblob', '108b35658bf5a574870fblob', '8c4a7e3f528d5d738553blob', '5edd724485106431ec2cblob', 'ed69d6b0ce609711f526blob', None, None, None, None, None]","guess mens gray sweatshirt heather ombre rainbow logo hoodie size 2xlguess mens gray sweatshirt heather ombre rainbow logo hoodie size 2xl
model: product
category: men
color: gray
men"
25,5ff5251d39a7bf6bd861d1ae,"['b5d12c576752cb771de2blob', 'c410bcc804f97a7a1343blob', 'ca5e9dd3e010eb7473ccblob', '5edfe1e2593b679f6371blob', '2003e09a5f9355f0ef38blob', 'ef54ada4297dfa282adfblob', 'a22123403050ab59d1b7blob', None, None, None, None, None]","jack and jones mens gray full zip cotton blend long sleeves casual hoodie jack and jones mens gray full zip cotton blend long sleeves casual hoodie 
model: clothing
category: men
color: gray
men"
26,5ff7dea639a7bf6bd861e24f,"['0211ac07e4bf28cb192cblob', 'f84037a8b12a7b1085f7blob', '3adf362415467185fc32blob', '2ea8717e476dddb1dda4blob', '26bdf2a164da69f540cbblob', '57f82cd0c212835e7516blob', 'c54d188daf5460444720blob', '531606e5d69c3d5ef536blob', None, None, None, None]","nike dri fit mens gray camo graphic full zip standard fit hoodie mediumnike dri fit mens gray camo graphic full zip standard fit hoodie medium
model: camouflage
category: men
color: beige
men"
27,5ffbd5b639a7bf6bd861fb90,"['455fe40b3efa1bb0bf91blob', '76b69f338a0f3f308547blob', '497e1f16e8469d8fa723blob', '56b80193a2445c2b55e5blob', '87ae480a3a9adf783943blob', None, None, None, None, None, None, None]","levis mens blue black camouflage cotton blend casual pullover hoodie size xxl levis mens blue black camouflage cotton blend casual pullover hoodie size xxl 
brand: the lego group
model: blue
category: men
color: black
men"
28,6004eb88b6795c07b1b704aa,"['886a3c151713cdb282b0blob', 'fb5e9010ba31a1c15c1bblob', '13f3ef7b5f153353a477blob', '8d8646cf6baeb211af25blob', '01351a38ed76c09f2991blob', '80eb6180d477f6b5c813blob', 'aa774170599e0718aab8blob', None, None, None, None, None]","ideology mens green white long sleeves cotton blend pullover hoodie size 3xlideology mens green white long sleeves cotton blend pullover hoodie size 3xl
model: product
category: men
color: gray
men"
29,60065dc845c2ff4568f255a3,"['5018fa8c48bb82271c5dblob', '94effbd25c91ecc5f225blob', '1086cb00d04fbe5bccebblob', '0dc470522416fde69d49blob', '4632ac8e7aff72a32cafblob', '4934ddc56229635dff9cblob', 'cb2a51dfd85a5077a819blob', None, None, None, None, None]","ideology mens green full zip up camouflage drawstring hoodie size xl ideology mens green full zip up camouflage drawstring hoodie size xl 
model: brown
category: men
color: black
men"
30,5f8d01b2a6d55065aba2f241,"['02811043d34bb59073f4blob', '509ed7670c87f1a221ccblob', '25a41f9dc02ab3de2c30blob', 'a6ce9ca7d085e36cf8c0blob', 'c2722510f0520177a050blob', '56bb637c8d2e1f98f6fdblob', 'eceee596f3181b94396fblob', 'f905b249f1348ac2f539blob', None, None, None, None]","nike air jordan mens jumpman flight over los angeles cw4965 100 hoodie sz mediumnike air jordan mens jumpman flight over los angeles cw4965 100 hoodie sz medium
category: men
men"
31,5f9068b7a6d55065aba2f9bf,"['7ccfbf3e74f76e9bea67blob', '091842283ef9ffb16eb5blob', '28a522b8a16bcc9b555cblob', '6d759f70b53823009da2blob', '5b1fd738ecef96870378blob', '2aad1d7ca709e9cf26ffblob', 'aa256b71e9cd7cadf05ablob', '759b29893771722938f0blob', None, None, None, None]","nike mens cw4758 010 pg gatorade basketball pullover hoodie size 2xlnike mens cw4758 010 pg gatorade basketball pullover hoodie size 2xl
brand: nike
category: men
men"
32,5f90f8dea6d55065aba2fbc2,"['39d287995cace8a82fcablob', 'b5a99dddd6b328008647blob', '68271a77a5a5ad0e5672blob', 'bf80c44530835263b85cblob', 'c6494679901cc66b3210blob', '955c04bce20a194e2768blob', None, None, None, None, None, None]","nike nyc mens cw4777-010 black heavyweight chinatown hoodie size xl nike nyc mens cw4777-010 black heavyweight chinatown hoodie size xl 
brand: nike
category: men
men"
33,5f95bc9ea6d55065aba301e9,"['4bea9b446d3480a40535blob', 'd6d3ec957bb39b4ec76ablob', 'f72a76571db6c40b6ddcblob', '667f4a162a2a9ea0a010blob', '74dc0d8b98c09bd8da2bblob', '75325d7778aa6763f676blob', '8960349a1f682192d353blob', '5fe9b0742d022db842edblob', 'bc3516276222d53dc0beblob', 'c78efd9f38d3555a2b2cblob', '5fa01e99691db0a3624fblob', None]","nike sb mens 938347-060 grey burgundy winterized polartec zip hoodie size lnike sb mens 938347-060 grey burgundy winterized polartec zip hoodie size l
brand: nike
model: sb polartec winterized fleece hoodie
category: men
men"
34,5f96e1c6a6d55065aba30314,"['d92f3ecbedc5603014edblob', 'c5838c95c138f04741eeblob', 'a04e55949c9f03b9993ablob', '856b6af4b5a55176a350blob', '085efc10443cd85afbe2blob', '999cb4ba561a641a6571blob', 'c39373c40468bb2607a9blob', '26f8529a9247883cd0d0blob', '7458925f11854ccd77cdblob', '999a663db0d2813ec249blob', '0b6663b6679e7470236eblob', '90f1c114d1d821e823d7blob']","nike mens nsw just do it ci9406 063 gray pullover heavyweight hoodie size smallnike mens nsw just do it ci9406 063 gray pullover heavyweight hoodie size small
brand: nike
category: men
men"
35,5f9ce14ee1ac23428cb7d3d0,"['b41080700d0fbd5f9d06blob', '82fa3c5c861b17b7dcd8blob', '52fda34fb7dfe51aea03blob', '7e5e29f087eb87376c06blob', 'c51eb5628cbbbc68be22blob', '353ae8d941d335f70b9fblob', '62abcdbedf8c828de810blob', None, None, None, None, None]","nike sportswear mens nsp cj5048 133 white black pullover loose fit hoodie sz m nike sportswear mens nsp cj5048 133 white black pullover loose fit hoodie sz m 
brand: nike
category: men
men"
