,prod_id,images,string
12,5f56b9685d6a2648366171ce,"['f20361ec49ee02a3ab49blob', '4d615db7d5e93cc6ed15blob', 'ad2bad5439a93b58bd3fblob', 'c842b5c3310724d96231blob', '299de909ed033cce13deblob', 'b05ebd193abcb9570581blob', '5399bdc3f5c3d250501fblob', '76899d3a56de30ef4500blob', None, None, None, None]","menvintage light gray navy blue tennis warm up jacket mens medium usa 70s 80smens warm zip up long sleeve activewear gray blue size medium 
brand: unbranded
model: 
category: men
color: blue, gray
material: acrylic
style: casual ,warm up
pattern: solid
size: medium
season/weather: winter
care: machine washable
sleeve length: long sleeve
closure: zip
type: activewear





"
13,5fbdc3ec97546371c0ecfe9e,"['4eea2599459292c304dbblob', 'fac8690148500aefe54dblob', 'abd85f8c4c9e3f7bb9a8blob', 'ee127a47301b716e8aaablob', '96f595e53ffe03fcdbb0blob', '059d052a4a3bbf978aa6blob', None, None, None, None, None, None]","barudan golf leather stitched green jacket golf club head coverbarudan golf leather stitched green jacket golf club head cover
"
14,5f9e5e3ce1ac23428cb7d5d2,"['419d8436e170f3b2adfbblob', '9a0862f975e42439db8dblob', 'd3f4cd149a5a83887f67blob', '67f280dbf400bee3477ablob', '84f9f89d1dca2cbe4c76blob', None, None, None, None, None, None, None]","walt disney world figment yellow jacket collectible pin made in china 2002walt disney world figment yellow jacket collectible pin made in china 2002
brand: disney
"
15,6023a5c2032aff45fb4308d1,"['40a8850cf1964138f359blob', '7360b6eeb008ca938058blob', '01119299b80a2adbfdf0blob', None, None, None, None, None, None, None, None, None]","warner home video stanley kubricks war full metal jacket video laserdiscwarner home video stanley kubricks war full metal jacket video laserdisc

"
16,5fcc453b9f955622dc3f3794,"['4048bcb86a1bba993064blob', '99a6fc2ecd192c4ae967blob', '2383349794622f005a4dblob', '46d99b56d4737cba1b1bblob', '0d80a9ff8acb2ab31c4bblob', '236861c083321b7622f4blob', 'a9fd8ec5ddb661b8af38blob', None, None, None, None, None]","calvin klein mens black cotton full zip heavy weight sweater jacket size mcalvin klein mens black cotton full zip heavy weight sweater jacket size m
"
17,5fd6d9e239a7bf6bd860f762,"['84744822c3e286a74952blob', '7be5b90c3cd612b8ec18blob', '8daf58045affb78ac6b7blob', '965b72abe83d2bd22f61blob', '14ce4294d8232608b2b1blob', '41a4bab6c182ae98ebd1blob', '2568d363c381b0907779blob', None, None, None, None, None]","nas mens black long sleeve full zip england sign front track jacket size mediumnas mens black long sleeve full zip england sign front track jacket size medium
brand: van gogh museum
model: text
color: white
"
18,5fe406c739a7bf6bd8616a4b,"['dc57f6561cddf50bf798blob', 'e240a3e6c7cc1d213e41blob', '4ce77e399a7aebae8c7eblob', '604235c5871924a2126eblob', '2317ae564cc7bb3dca34blob', '69f4e5468091f873f04eblob', '1de84cf957e728cc08bbblob', '36bf5ae22a1acaabcce0blob', 'caca532f60acb689e401blob', 'ff53210e74f9a3d8158eblob', None, None]","calvin klein mens black garment wash utility light weight indoor jacket size mcalvin klein mens black garment wash utility light weight indoor jacket size m
model: black
color: beige
"
19,6004b177b6795c07b1b701e9,"['fde497c94643902e6c5ablob', 'c6ebd0f79d2aafb81d81blob', '10ecdeb56e293ce4bf70blob', 'd40bbbc3d3e50131c140blob', 'b831e1422e935e52e247blob', '7d2e7bc90bc0942efa32blob', 'eafe07e52c1ac427d8c6blob', '7a756827146f24fced01blob', '70d118b4d50bb3008a23blob', None, None, None]","pro player mens navy blue gray yankees full zip lined windbreaker jacket size lpro player mens navy blue gray yankees full zip lined windbreaker jacket size l
model: text
color: white
"
20,6009785845c2ff4568f2787b,"['f6d48477d64dcd906ee5blob', '60b4953d2ff95fbd356bblob', 'f0c19f2015f75f89d6b2blob', '737a59e9282ed3efac25blob', '76ef707e73ad7072aec0blob', '5ef75eee4377b0b3a0c9blob', '915bee5f04f039fff39cblob', '5c52e649c1101ada0659blob', '4171c6fa7bf3da7e8914blob', '51203b6897b13b88d0e4blob', '7465f28452d9abb24353blob', None]","nike mens black lacrosse performance hooded windbreaker jacket size mediumnike mens black lacrosse performance hooded windbreaker jacket size medium
model: outerwear
color: gray
"
21,600cedac45c2ff4568f29277,"['9adbb3629ea5145661a2blob', '593e7fbe7108e48c2d2eblob', '7f94785713359ed3f830blob', '4a705656ecf112f3d102blob', '065a5ecb3110e2b22102blob', '1bc0e81ef00faa9046d3blob', '9f1b399c1c681cdd280bblob', '6411cd69bad36fe1e873blob', '43b42b571090bde8e601blob', '12a87a9146283a36a77dblob', '3a53314c9db133075fadblob', '75363e2c362886142a84blob']","nfl mens blue authentic official new york giants insulated parka jacket size lnfl mens blue authentic official new york giants insulated parka jacket size l
"
22,601c5187f4e5d90747b9e37c,"['63c226dae371ce1abe96blob', '889b96f8705b68647e4fblob', '08b72ee42d58aff0f1ecblob', '37e0ea69b19df97effb2blob', '21edc4b3e51a404109e9blob', '937f915aad79ec98c15eblob', 'f7726e6688afc4ff1399blob', '5aa9ae596d328f98550bblob', '57ba19fa2a9223e06ebcblob', None, None, None]","the north face mens black gray long sleeve full zip fleece jacket size large the north face mens black gray long sleeve full zip fleece jacket size large 

"
23,604594107cb2b66f1baa7b4f,"['8d30843c49646884e2bcblob', '550d77c9c896f4c321e4blob', '163c065d7ce215107fc7blob', 'e3ca1070752443ce3142blob', '37e9f6ac2640a60b8abbblob', '23e40ddfe1fa7bc65bbdblob', '859784ff6313700ebf35blob', '6d7e2a8997f93d1d7f47blob', '14e6c4f54dcc727fe9fablob', '8f0f26e2930d2c51fe77blob', None, None]",perry ellis mens brown genuine leather long sleeve full-zip coat jacket size xlperry ellis mens brown genuine leather long sleeve full-zip coat jacket size xl  
24,60498e40bc3491789cc1e85e,"['3d47268f1a73071d84ebblob', '9eb6865ee7273c8be9b6blob', 'b3d38cc8f83c5628fe08blob', '3da89ec812d9300af463blob', '763baa1d1562f601f8c1blob', 'dcb88b20563bff43e52cblob', 'e882be3936edd70fa9eablob', 'e32cf09146685f2076c4blob', '23bf67ca24c6eaec78bfblob', '785fd23fdcec063a47b1blob', '826b07700df8bbfcc6c8blob', '19979bde499296790af3blob']",patagonia mens maroon black fitzroy wind protect fleece full zip jacket size lpatagonia mens maroon black fitzroy wind protect fleece full zip jacket size l  
25,60a07b3dca4e450019cd9d72,"[None, 'Rv2KXyCyzIQqOlT', 'tPjkN5UPEjPtEaj', '6QX8R2jDKhrDAd4', 'qH4i7WsLM1FSFpP', 'TagMLMGwlcange9', 'bMLY_6hN_769KVP', 'fj6z4B0MTffdOBx', 'QK4J-ypiIHYsWQZ', 'cGc3skEtRNcYOoa', None, None]",upright citizen brigade mens blue long sleeve mechanic style jacket size xlupright citizen brigade mens blue long sleeve mechanic style jacket size xl  
